distro,setup,very_sure,reasonable_sure,unsure
0:0,2,0.56,0.44,0.0
0:2/2:0,2,0.56,0.44,0.0
0:2/2:0,2,0.33,0.66,0.0
0:0,2,0.66,0.33,0.0
0:4/4:0,2,0.77,0.22,0.0
0:0,2,0.22,0.77,0.0
0:0,2,0.11,0.56,0.33
0:4/4:0,2,0.44,0.56,0.0
0:0,2,0.22,0.66,0.11
2:4/4:2,2,0.56,0.44,0.0
2:4/4:2,2,0.77,0.22,0.0
0:0,2,0.56,0.44,0.0
2:2,2,0.22,0.56,0.22
0:2/2:0,2,0.33,0.66,0.0
0:2/2:0,2,0.22,0.77,0.0
2:2,2,0.11,0.77,0.11
0:4/4:0,2,0.77,0.22,0.0
2:2,2,0.22,0.77,0.0
2:2,2,0.11,0.77,0.11
0:4/4:0,2,0.33,0.44,0.22
2:4/4:2,2,0.22,0.77,0.0
2:2,2,0.66,0.33,0.11
2:4/4:2,2,0.44,0.33,0.22
2:2,2,0.33,0.66,0.0
4:4,2,0.66,0.33,0.0
0:2/2:0,2,0.11,0.88,0.0
0:2/2:0,2,0.33,0.66,0.0
4:4,2,0.33,0.44,0.22
4:4,2,0.22,0.77,0.0
0:4/4:0,2,0.56,0.44,0.0
4:4,2,0.44,0.56,0.0
0:4/4:0,2,0.56,0.33,0.11
2:4/4:2,2,0.44,0.56,0.0
4:4,2,0.44,0.56,0.0
4:4,2,0.66,0.33,0.0
2:4/4:2,2,0.66,0.22,0.11
4:4,2,0.33,0.66,0.0
2:4/4:2,2,0.56,0.44,0.0
0:4/4:0,2,0.66,0.33,0.0
0:2/2:0,2,0.44,0.33,0.22
0:0,1,0.66,0.33,0.0
0:2/2:0,1,0.44,0.56,0.0
0:2/2:0,1,0.77,0.22,0.0
0:0,1,0.11,0.56,0.33
0:4/4:0,1,0.66,0.33,0.0
0:0,1,0.22,0.77,0.0
0:0,1,0.44,0.44,0.11
0:4/4:0,1,0.0,0.88,0.11
0:0,1,0.44,0.56,0.0
2:4/4:2,1,0.44,0.56,0.0
2:4/4:2,1,0.88,0.11,0.0
0:0,1,0.56,0.44,0.0
2:2,1,0.56,0.44,0.0
0:2/2:0,1,0.33,0.66,0.0
0:2/2:0,1,0.56,0.44,0.0
2:2,1,0.11,0.44,0.44
0:4/4:0,1,0.66,0.33,0.0
2:2,1,0.33,0.66,0.0
2:2,1,0.88,0.11,0.0
0:4/4:0,1,0.77,0.0,0.22
2:4/4:2,1,0.11,0.77,0.11
2:2,1,0.44,0.11,0.44
2:4/4:2,1,0.66,0.22,0.11
2:2,1,0.33,0.44,0.22
4:4,1,0.55,0.44,0.0
0:2/2:0,1,0.44,0.56,0.0
0:2/2:0,1,0.22,0.56,0.22
4:4,1,0.33,0.66,0.0
4:4,1,0.11,0.88,0.0
0:4/4:0,1,0.77,0.22,0.0
4:4,1,0.55,0.44,0.0
0:4/4:0,1,0.22,0.77,0.0
2:4/4:2,1,0.22,0.44,0.33
4:4,1,0.33,0.66,0.0
4:4,1,0.33,0.66,0.0
2:4/4:2,1,0.55,0.44,0.0
0:2/2:0,1,0.11,0.66,0.22
0:4/4:0,1,0.44,0.44,0.11
2:4/4:2,1,0.44,0.56,0.0
4:4,1,0.44,0.44,0.11
2:4/4:2,1,0.22,0.77,0.0
