id_worker,original_answer,correct_ans
1,con,con
2,con,con
3,con,con
4,con,con
5,con,con
6,con,con
7,con,con
8,con,con
1,con,con
2,pro,pro
3,pro,pro
4,pro,pro
5,pro,pro
6,pro,pro
7,pro,pro
8,pro,pro
1,pro,pro
2,pro,pro
3,pro,pro
4,pro,pro
5,pro,pro
6,pro,pro
7,pro,pro
8,pro,pro
1,pro,pro
2,pro,pro
3,pro,pro
4,con,con
5,con,con
6,con,con
7,con,con
8,con,con
1,con,con
2,con,con
3,con,con
4,con,con
5,pro,pro
6,pro,pro
7,pro,pro
8,pro,pro
1,pro,pro
2,pro,pro
3,pro,pro
4,pro,pro
5,pro,pro
6,pro,pro
7,pro,pro
8,pro,pro
1,pro,pro
2,pro,pro
3,neutral,pro
4,pro,pro
5,pro,pro
6,pro,pro
7,pro,pro
8,pro,pro
1,pro,pro
2,pro,pro
3,pro,pro
4,pro,pro
5,pro,pro
6,pro,pro
7,pro,pro
8,pro,pro
1,pro,pro
2,pro,pro
3,pro,pro
4,pro,pro
5,pro,pro
6,pro,pro
7,pro,pro
8,pro,pro
