distro,section,accs,comp,setup
0:0,1,0.11,low,1
0:0,1,0.12,low,1
0:0,2,0.0,low,1
0:0,3,0.18,low,1
0:0,4,0.24,low,1
0:0,4,0.33,low,1
4:4,1,0.0,low,1
4:4,1,0.0,low,1
4:4,1,0.0,low,1
4:4,2,0.26,low,1
4:4,3,0.33,low,1
4:4,3,0.33,low,1
4:4,4,0.24,low,1
2:2,1,0.0,low,1
2:2,2,0.0,low,1
2:2,2,0.28,low,1
2:2,3,0.33,low,1
2:2,4,0.0,low,1
2:2,4,0.22,low,1
2:0,1,0.2,low,1
2:0,2,0.66,low,1
2:0,2,0.22,low,1
2:0,3,0.77,low,1
2:0,3,0.33,low,1
2:0,3,0.55,low,1
2:0,4,0.35,low,1
0:4,1,0.77,low,1
0:4,1,0.33,low,1
0:4,2,0.36,low,1
0:4,3,0.48,low,1
0:4,4,0.55,low,1
0:4,4,0.44,low,1
0:4,4,0.8,low,1
4:2,1,0.64,low,1
4:2,1,0.33,low,1
4:2,2,0.57,low,1
4:2,2,0.35,low,1
4:2,3,0.55,low,1
4:2,3,0.3,low,1
4:2,4,0.28,low,1
0:0,1,0.22,high,1
0:0,1,0.53,high,1
0:0,2,0.55,high,1
0:0,3,0.66,high,1
0:0,4,0.32,high,1
0:0,4,0.75,high,1
4:4,1,1.0,high,1
4:4,1,0.45,high,1
4:4,1,0.6,high,1
4:4,2,0.44,high,1
4:4,3,1.0,high,1
4:4,3,0.33,high,1
4:4,4,0.48,high,1
2:2,1,0.0,high,1
2:2,2,0.58,high,1
2:2,2,0.75,high,1
2:2,3,0.22,high,1
2:2,4,0.45,high,1
2:2,4,0.66,high,1
2:0,1,0.72,high,1
2:0,2,0.55,high,1
2:0,2,0.77,high,1
2:0,3,0.22,high,1
2:0,3,0.67,high,1
2:0,3,1.0,high,1
2:0,4,0.68,high,1
0:4,1,0.77,high,1
0:4,1,0.55,high,1
0:4,2,0.62,high,1
0:4,3,0.74,high,1
0:4,4,0.6,high,1
0:4,4,0.69,high,1
0:4,4,1.0,high,1
4:2,1,0.55,high,1
4:2,1,0.55,high,1
4:2,2,1.0,high,1
4:2,2,0.55,high,1
4:2,3,0.47,high,1
4:2,3,0.74,high,1
4:2,4,0.66,high,1
0:0,1,0.52,low,2
0:0,1,0.58,low,2
0:0,2,0.44,low,2
0:0,3,0.33,low,2
0:0,4,0.44,low,2
0:0,4,0.22,low,2
4:4,1,0.66,low,2
4:4,1,0.33,low,2
4:4,1,0.53,low,2
4:4,2,0.33,low,2
4:4,3,0.48,low,2
4:4,4,0.22,low,2
4:4,4,0.66,low,2
2:2,1,0.43,low,2
2:2,2,0.5,low,2
2:2,2,0.0,low,2
2:2,3,0.22,low,2
2:2,4,0.0,low,2
2:2,4,0.25,low,2
2:0,1,0.66,low,2
2:0,2,0.77,low,2
2:0,2,0.44,low,2
2:0,3,0.56,low,2
2:0,3,0.44,low,2
2:0,4,0.55,low,2
2:0,4,0.54,low,2
0:4,1,0.55,low,2
0:4,1,0.68,low,2
0:4,2,0.33,low,2
0:4,2,0.6,low,2
0:4,3,0.56,low,2
0:4,4,0.3,low,2
0:4,4,0.1,low,2
4:2,1,0.55,low,2
4:2,1,0.5,low,2
4:2,2,0.57,low,2
4:2,3,0.33,low,2
4:2,3,0.62,low,2
4:2,3,0.7,low,2
4:2,4,0.33,low,2
0:0,1,0.73,high,2
0:0,1,0.5,high,2
0:0,2,0.63,high,2
0:0,3,0.55,high,2
0:0,4,1.0,high,2
0:0,4,0.33,high,2
4:4,1,0.8,high,2
4:4,1,0.3,high,2
4:4,1,0.77,high,2
4:4,2,0.55,high,2
4:4,3,0.66,high,2
4:4,4,0.8,high,2
4:4,4,0.37,high,2
2:2,1,0.7,high,2
2:2,2,0.58,high,2
2:2,2,0.73,high,2
2:2,3,0.5,high,2
2:2,4,0.33,high,2
2:2,4,0.77,high,2
2:0,1,0.8,high,2
2:0,2,0.8,high,2
2:0,2,0.7,high,2
2:0,3,0.8,high,2
2:0,3,0.37,high,2
2:0,4,0.64,high,2
2:0,4,0.8,high,2
0:4,1,0.7,high,2
0:4,1,0.8,high,2
0:4,2,0.66,high,2
0:4,2,0.7,high,2
0:4,3,0.68,high,2
0:4,4,0.77,high,2
0:4,4,0.52,high,2
4:2,1,1.0,high,2
4:2,1,1.0,high,2
4:2,2,0.88,high,2
4:2,3,1.0,high,2
4:2,3,0.33,high,2
4:2,3,0.77,high,2
4:2,4,0.66,high,2
